,CO2,CO2prox1000,CO2prox2000,CO2prox3000,CO2prox4000,CO2prox5000,CO2prox6000,CO2prox7000,CO2prox8000,CO2prox9000,CO2prox10000,CO2prox11000,CO2prox12000,CO2prox13000,Population,GDP,FertilityRate,ElecFossi,ElecNuclear,ForestArea
114,68.1534,68.1534,0.0,2280.5464,1086.3223,764.6805,2207.2066,7456.4885,1749.5795,263.6924,0.0,0.0,0.0,0.0,95269988,9941.364608,6.49,67.41439501,0.0,172340.0
115,0.0073,0.0073,0.0,0.0,263.6924,0.0,1749.5795,7456.4885,2971.8871,247.7112,735.2635,2383.894,0.0,0.0,0,4375.302396,2.289,43.68231047,0.0,82010.0
116,124.8029,1455.9128,4387.7904,149.7392,564.8382,1100.8696,2711.4327,5115.1827,0.0,247.7112,0.0,199.8423,0.0,0.0,20293054,11255.42781,2.289,43.68231047,0.0,82010.0
117,29.1807,1894.3438,907.2413,2387.4358,595.9763,7840.3288,1351.3858,597.2927,0.0,263.6924,0.0,0.0,0.0,0.0,4241473,58494.020189999996,1.93,0.072361875,0.0,121320.0
118,11.9713,358.7244,704.2035,760.2810000000001,6260.5485,1728.5603,0.0,693.1448,5046.2946,268.7304,0.0,0.0,0.0,0.0,1812160,94520.03651,7.165,100.0,0.0,20.0
119,61.7178,806.7852,166.5239,4878.2145,3762.8294,0.0,511.4036,429.4524,4846.4523,468.5727,0.0,0.0,0.0,0.0,107678614,226662.3407,6.024,54.29618029,0.777745335,25270.0
120,2.7102,2.7102,1232.3946,2692.7307,564.8382,2207.2066,346.7531,919.8765,7376.1438,268.7304,0.0,0.0,199.8423,0.0,15088,166592.603,2.84,14.73130402,0.0,380.0
121,2.7102,2.7102,268.7304,5046.2946,429.4524,0.0,2281.9803,351.0588,2594.2831,1677.8629999999998,3009.1144,0.0,149.7392,0.0,2471009,124033.63,3.057,14.73130402,0.0,50400.0
122,2.1434,2.1434,263.6924,1232.3946,2429.0383,564.8382,2207.2066,346.7531,1085.2593,7479.4914,0.0,199.8423,0.0,0.0,4313059,124033.63,4.802,0.025749493999999998,0.0,336270.0
123,2.0912,201.9335,0.0,0.0,0.0,5362.8939,0.0,3062.4915,305.8892,443.9216,2772.0448,149.7392,3511.6937,0.0,4213742,1413889.425,4.547,0.025749493999999998,0.0,211570.0
124,20.7242,20.7242,199.8423,268.7304,4846.4523,429.4524,0.0,2880.7503,139.3653,2553.9597,1346.3478,2993.8765,149.7392,0.0,21826658,2606.050686,3.8280000000000003,23.19669757,0.0,779210.0
125,41.2094,41.2094,3661.4329,828.5306,2207.2066,180.2292,305.8892,3062.4915,247.7112,5115.1827,0.0,0.0,0.0,199.8423,61947348,834.0039579,4.32,54.57515099,0.0,65550.0
126,351.0588,2633.0391,139.3653,346.7531,2772.0448,2610.0362,6425.2734,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,38110782,380.0967671,2.06,98.75385932,0.0,88810.0
127,41.5074,400.1612,2274.3853,139.3653,346.7531,7682.9536,3261.8636,1331.1099,149.7392,0.0,0.0,263.6924,0.0,0.0,9983218,293927.3847,1.56,65.25480515,0.0,34360.0
